province_code,province_name,region_code,region_name
1,AZUAY,1,Sierra
2,BOLIVAR,1,Sierra
3,CAÑAR1,1,Sierra
4,CARCHI,1,Sierra
5,COTOPAXI,1,Sierra
6,CHIMBORAZO,1,Sierra
7,EL ORO,2,Costa
8,ESMERALDAS,2,Costa
9,GUAYAS,2,Costa
10,IMBABURA,1,Sierra
11,LOJA,1,Sierra
12,LOS RIOS,2,Costa
13,MANABI,2,Costa
14,MORONA SANTIAGO,3,Oriente
15,NAPO,3,Oriente
16,PASTAZA,3,Oriente
17,PICHINCHA,1,Sierra
18,TUNGURAHUA,1,Sierra
19,GALAPAGOS,4,Insular
20,ZAMORA CHINCHIPE,3,Oriente
21,SUCUMBIOS,3,Oriente
22,ORELLANA,3,Oriente
23,SANTO DOMINGO DE LOS TSÁCHILAS,1,Sierra
24,SANTA ELENA,2,Costa